V_gene	V_family
01	01
02	02
03-01	03
03-02	03
04-01	04
04-02	04
04-03	04
05-01	05
05-02	05
05-03	05
05-04	05
05-05	05
05-06	05
05-07	05
05-08	05
06-01	06
06-02	06
06-03	06
06-04	06
06-05	06
06-06	06
06-07	06
06-08	06
06-09	06
07-01	07
07-02	07
07-03	07
07-04	07
07-05	07
07-06	07
07-07	07
07-08	07
07-09	07
08-01	08
08-02	08
09	09
10-01	10
10-02	10
10-03	10
11-01	11
11-02	11
11-03	11
12-01	12
12-02	12
12-03	12
12-04	12
12-05	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20-01	20
21-01	21
22-01	22
23-01	23
24-01	24
25-01	25
26	26
27	27
28	28
29-01	29
30	30
A	0A
B	0B
C	0C
